id,lat,lon,user,uid,version,changeset,timestamp
29805130,52.5210952,13.3952122,Bot45715,111462,6,14215945,2012-12-09T17:39:34Z
29805131,52.5217535,13.3966439,wasat,5453,6,9610536,2011-10-20T17:37:01Z
29805132,52.5220117,13.3972327,Elwood,6669,7,21751885,2014-04-17T15:52:47Z
29805133,52.5221706,13.3979237,Elwood,6669,8,21751885,2014-04-17T15:52:47Z
29805134,52.5222588,13.3987348,bigbug21,15748,9,44079349,2016-12-01T07:47:13Z
29805135,52.5222776,13.3993861,Elwood,6669,9,21751885,2014-04-17T15:52:47Z
30306955,52.5224331,13.3754376,mapper999,165061,6,41498042,2016-08-16T20:03:31Z
30353082,52.514548,13.3771887,sladen,12671,6,14511697,2013-01-03T12:23:54Z
30353083,52.5154997,13.3774906,sladen,12671,4,14511697,2013-01-03T12:23:54Z
30353084,52.5160457,13.3782482,sladen,12671,5,14511697,2013-01-03T12:23:54Z
30353086,52.5164543,13.3809369,Nakaner,496201,27,48746295,2017-05-16T21:21:56Z
30353092,52.5194245,13.3853428,berlin_downtown,1726492,8,17782627,2013-09-11T12:56:58Z
30353094,52.5207023,13.3864733,Gavaasuren,2144605,7,36854193,2016-01-28T10:53:03Z
30353441,52.5217517,13.3880093,bahnpirat,13203,2,300269,2008-12-10T15:50:32Z
30353442,52.5219602,13.3885868,bahnpirat,13203,3,300269,2008-12-10T15:50:32Z
30353445,52.5221206,13.3902351,sladen,12671,3,11739727,2012-05-29T17:08:56Z
30353447,52.5223519,13.391203,sladen,12671,3,11739727,2012-05-29T17:08:57Z
30353448,52.5228265,13.3917074,Verkehrsrot,527307,4,37334535,2016-02-20T19:40:35Z
30507148,52.515815,13.3996587,RoterEmil,4179530,5,44513947,2016-12-19T11:39:06Z
51974030,52.5239468,13.3876813,nurinfo,209498,7,10968453,2012-03-13T16:09:28Z
51974037,52.5233967,13.3876927,sladen,12671,10,11739727,2012-05-29T16:19:42Z
54771670,52.5132095,13.398903,anbr,43566,5,36307191,2016-01-01T21:59:30Z
66917107,52.5213429,13.388468,atpl_pilot,881429,16,36059354,2015-12-20T06:34:26Z
66917115,52.5206669,13.3885051,geozeisig,66391,12,14672298,2013-01-16T13:18:15Z
66917188,52.5207714,13.3889021,wheelmap_visitor,290680,20,48554484,2017-05-10T08:53:11Z
66917193,52.5196994,13.389141,Creando,132740,18,39776837,2016-06-03T11:22:36Z
66917199,52.5194029,13.3887381,ericdanielski,2793459,13,47963745,2017-04-20T08:33:41Z
66917205,52.5182281,13.3874995,BenSim78,2754647,13,34539949,2015-10-09T21:58:17Z
66917214,52.5168648,13.3829482,PatrickKaufmann,364815,14,36883618,2016-01-29T17:18:02Z
66917220,52.5168226,13.3825908,RoterEmil,4179530,15,46177924,2017-02-17T21:00:14Z
66917225,52.5167793,13.3804053,glibbertorsten,1879543,15,44459312,2016-12-16T22:22:54Z
66917315,52.5148888,13.3813686,TobHaeg,34417,3,1873008,2009-07-19T13:53:57Z
85882444,52.516312,13.3823844,Bot45715,111462,12,15698533,2013-04-12T09:06:21Z
85882448,52.5155172,13.3855079,Bot45715,111462,14,28820075,2015-02-13T12:59:29Z
85882449,52.5156166,13.3854926,Bot45715,111462,12,15698533,2013-04-12T09:06:21Z
85883217,52.5148878,13.3788285,mapper999,165061,11,39955788,2016-06-11T16:19:32Z
85883220,52.515785,13.3786674,anbr,43566,14,34376083,2015-10-01T19:36:42Z
86001784,52.5174249,13.3905967,TobHaeg,34417,3,1873008,2009-07-19T13:53:34Z
86001788,52.5158768,13.3886042,luschi,1714220,18,46222740,2017-02-19T18:03:44Z
86001790,52.5158107,13.3899247,tobim91,3233303,7,36582585,2016-01-14T23:10:40Z
86001794,52.5151154,13.3889505,Livermersey,3297442,10,46171305,2017-02-17T17:32:59Z
86001795,52.5148486,13.3893185,Konrad Aust,115651,4,2969838,2009-10-27T22:42:10Z
86001798,52.5150034,13.3903882,wheelmap_visitor,290680,14,47068252,2017-03-22T18:20:31Z
86001799,52.5152925,13.3907432,BenSim78,2754647,11,34539592,2015-10-09T21:26:35Z
86001800,52.5150373,13.3907724,Livermersey,3297442,11,46098104,2017-02-15T07:15:22Z
86001813,52.514689,13.3909281,Livermersey,3297442,30,46098344,2017-02-15T07:29:37Z
86001816,52.5141056,13.3909914,Konrad Aust,115651,3,2987183,2009-10-30T07:53:46Z
86001818,52.5147116,13.3927835,sirmmo,2106165,13,24220456,2014-07-18T13:01:13Z
86001820,52.5149082,13.3931856,TobHaeg,34417,2,1873008,2009-07-19T13:52:40Z
86001825,52.5132123,13.3911782,geozeisig,66391,9,14672298,2013-01-16T13:18:29Z
86001826,52.5126889,13.3912567,taxi-adem,2426081,12,46134838,2017-02-16T11:49:22Z
86001833,52.5123951,13.3912513,taxi-adem,2426081,6,46134838,2017-02-16T11:49:22Z
86001846,52.5130816,13.3935532,Francois555,2037651,9,39338949,2016-05-15T20:47:25Z
86001849,52.5134099,13.3935027,Marmo4D,641659,6,29201709,2015-03-02T15:30:31Z
86001855,52.513116,13.3970868,village,292618,4,13804191,2012-11-09T00:32:40Z
86001863,52.5130621,13.3979038,Jotam,768145,9,31725297,2015-06-04T17:17:13Z
86005427,52.5131905,13.3938915,haytigran,360562,12,45132007,2017-01-13T12:35:23Z
86005428,52.5123243,13.3929759,sladen,12671,7,14552763,2013-01-06T17:42:48Z
86005430,52.5129305,13.3912298,taxi-adem,2426081,7,46134838,2017-02-16T11:49:22Z
99871161,52.5195642,13.3776164,Krille von Stralau,597190,8,33936215,2015-09-10T15:17:44Z
99871242,52.5192359,13.3788613,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:44Z
99871257,52.520011,13.3767768,Krille von Stralau,597190,6,33936215,2015-09-10T15:17:44Z
100532362,52.5209124,13.3737999,anbr,43566,9,30695446,2015-05-01T15:46:32Z
100532363,52.5218379,13.3753408,Shmias,88961,5,28671857,2015-02-07T12:45:16Z
100532364,52.5220852,13.3749383,rolandmwagner,39288,5,37722539,2016-03-09T23:03:44Z
102333389,52.5225119,13.3941706,Larifari77,423330,9,14956758,2013-02-08T14:41:31Z
102334067,52.5213303,13.400131,wasat,5453,2,9597534,2011-10-19T08:17:24Z
102960692,52.5215711,13.3756265,anbr,43566,3,21652252,2014-04-12T19:26:07Z
102960696,52.5213208,13.3758532,anbr,43566,3,21652252,2014-04-12T19:26:07Z
102960701,52.5209689,13.3759871,TobHaeg,34417,2,1873008,2009-07-19T13:53:29Z
102960721,52.5203079,13.3761487,anbr,43566,3,21652252,2014-04-12T19:26:07Z
102960724,52.5199859,13.3763704,anbr,43566,3,21652252,2014-04-12T19:26:07Z
102960725,52.5197326,13.3766847,anbr,43566,3,21652252,2014-04-12T19:26:07Z
102960729,52.5195589,13.3769962,Bot45715,111462,3,14128246,2012-12-02T17:42:15Z
102960732,52.5193748,13.3774636,mapper999,165061,4,41497740,2016-08-16T19:49:37Z
102960733,52.5192126,13.3779659,mapper999,165061,4,41497740,2016-08-16T19:49:37Z
102960735,52.5191466,13.3782352,mapper999,165061,3,41497740,2016-08-16T19:49:37Z
102960739,52.5190395,13.3787974,mapper999,165061,3,41497740,2016-08-16T19:49:37Z
102960741,52.5189913,13.3791995,anbr,43566,3,34376083,2015-10-01T19:36:35Z
102960743,52.5189648,13.3797223,mapper999,165061,5,41497740,2016-08-16T19:49:37Z
102960747,52.5189659,13.3801033,anbr,43566,4,34376083,2015-10-01T19:36:35Z
102960751,52.5190116,13.3804542,anbr,43566,4,34376083,2015-10-01T19:36:35Z
102960753,52.5190716,13.380999,anbr,43566,4,34376083,2015-10-01T19:36:35Z
102960755,52.5191211,13.3813472,anbr,43566,4,34376083,2015-10-01T19:36:35Z
102960759,52.5191835,13.3816907,anbr,43566,4,34376083,2015-10-01T19:36:35Z
